Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
228993,262,13.1,1.0,0,316,74,30.5,4.5,6.2,1,110,3,19,4,0,0,0,13,8
239830,129,2.4,0.0,0,325,418,20,9.4,8.1,2,4288,6,78,3,0,3,0,62,172
240045,147,9.3,1.0,0,626,576,14.7,4.3,3.5,5,35,72,36,1,0,2,0,30,86
246078,205,2.7,2.0,5,708,306,41.3,1.7,4.4,0,131,3,34,1,0,0,0,30,4
274080,458,13.2,2.0,2,775,1389,63.3,16.4,23.7,13,14656,27,223,13,0,2,0,45,50
81354,396,11.3,7.0,28,677,1564,64.7,8.6,11.3,8,951,68,172,4,0,6,1,97,72
270047,452,19.6,4.0,75,776,719,48.1,3.7,28.1,3,3353,57,182,5,0,10,1,119,65
14983,913,58.6,14.0,213,220,1102,41.7,5.3,57.1,31,1950,68,95,5,0,32,1,113,65
117539,185,3.1,1.0,59,75,366,14.4,2.4,24.4,6,217,4,49,2,0,11,0,47,35
148938,312,16.9,7.0,76,658,787,16.7,3.7,23.4,9,1545,18,50,3,0,8,0,49,44
25340,277,8.7,3.0,8,927,173,46.9,3.7,5.5,2,2179,8,51,1,0,1,0,24,19
20243,491,19.8,8.0,176,439,528,7.8,1.2,67.2,1,131,2,59,3,0,33,1,73,13
245937,263,11.6,4.0,13,441,696,26.2,6.2,15.6,11,2341,35,122,2,0,4,0,47,76
142456,811,38.2,20.0,158,2378,2085,65.3,11.1,51.2,14,18236,45,344,12,0,25,1,112,75
236412,133,4.6,1.0,0,216,205,19.9,4.2,4.1,1,385,9,48,2,0,1,0,30,60
189679,309,18,5.0,97,105,349,5.5,1.9,31.2,0,135,8,56,2,0,10,1,39,11
165456,874,30.7,6.0,198,1692,524,109.1,4.6,34,5,270,4,254,9,1,10,0,86,298
236773,209,11.5,2.0,43,426,629,10.8,3.1,16.8,3,1042,14,90,3,1,7,0,54,26
258746,795,65.2,25.0,212,314,686,15.8,3.5,34,3,1798,20,337,8,0,9,1,46,41
210510,321,9,2.0,0,217,1519,55.3,11.2,7.9,20,593,44,90,4,0,4,1,107,300
79028,358,18.2,7.0,90,334,359,22.9,1.6,23.7,0,34,2,88,3,0,7,0,33,59
268387,210,4.6,1.0,0,344,1494,39.8,10.1,7.9,11,575,160,145,5,0,5,1,90,132
188311,215,8.2,1.0,173,251,516,14.6,2.9,20.6,7,970,71,72,4,0,8,0,53,38
76989,743,52.5,17.0,214,1093,768,4.7,0.6,59.8,1,197,2,96,5,1,22,1,65,26
210634,229,14.4,2.0,0,250,403,23.3,2.5,2.9,1,461,8,46,2,0,2,0,37,15
228899,517,31.9,19.0,94,893,1468,36.8,2.4,23.5,32,6981,35,806,2,0,10,0,121,157
